Nombre del Planeta,Estrella Huesped,Numero de Estrellas,Numero de Planetas,Metodo de Descubrimiento,Año de Descubrimiento,Periodo Orbital (Dias),Semieje Mayor (UA),Radio del Planeta (Radios Terrestres),MPX Sen(I)(Masas Terrestres),Excentricidad,Temperatura de Equilibrio,Tipo Espectral,Temperatura Estelar efectiva,Radio Estelar (Radios Solares),Masa Estelar (Masas Solares),Metalicidad Estelar Corregido
Kepler-933 b,Kepler-933,1,1,Transit,2016,14.20443009,0.104100,2.46,6.62000,0.000000,602,,5346.00,0.84,0.87,-0.02
Kepler-934 b,Kepler-934,1,1,Transit,2016,55.6738309,0.265800,2.09,5.02000,0.000000,384,,5001.00,0.77,0.81,0.01
Kepler-935 b,Kepler-935,1,1,Transit,2016,4.88083852,0.052700,1.35,2.39000,0.000000,879,,4830.00,0.73,0.78,-0.01
Kepler-936 b,Kepler-936,1,1,Transit,2016,10.56134221,0.095400,1.45,2.70000,0.000000,867,,5482.00,0.89,0.92,0.05
Kepler-937 b,Kepler-937,1,2,Transit,2016,67.668827,0.321400,3.72,13.40000,0.000000,495,,6095.00,1.22,1.15,0.08
Kepler-937 c,Kepler-937,1,2,Transit,2016,153.343364,0.554500,2.67,7.61000,0.000000,377,,6095.00,1.22,1.15,0.08
Kepler-938 b,Kepler-938,1,1,Transit,2016,52.6298417,0.268900,2.22,5.56000,0.000000,544,,5533.00,0.89,0.92,-0.03
Kepler-939 b,Kepler-939,1,1,Transit,2016,14.878296,0.115300,1.75,3.71000,0.000000,692,,5471.00,0.85,0.88,-0.12
Kepler-94 b,Kepler-94,1,2,Transit,2014,2.50806,0.033770,3.51,10.84000,0.000000,997,M0 V,4781.00,0.76,0.81,0.34
Kepler-94 c,Kepler-94,1,2,Radial Velocity,2014,820.3,1.596807,12.5,3126.00000,0.345931,,M0 V,4781.00,0.76,0.81,0.34
Kepler-940 b,Kepler-940,1,1,Transit,2016,59.6225257,0.305900,3.34,11.10000,0.000000,486,,5769.00,0.96,0.97,-0.08
Kepler-941 b,Kepler-941,1,1,Transit,2016,17.42395198,0.131100,3.08,9.69000,0.000000,722,,5539.00,0.86,0.89,-0.15
Kepler-942 b,Kepler-942,1,1,Transit,2016,44.96417488,0.227370,2.13,5.18000,0.000000,379,,4861.00,0.75,0.81,0.09
Kepler-943 b,Kepler-943,1,1,Transit,2016,49.7701438,0.255900,5.93,29.50000,0.000000,455,,5612.00,0.91,0.93,-0.07
Kepler-944 b,Kepler-944,1,1,Transit,2016,43.3167737,0.228800,2.63,7.41000,0.000000,459,,5409.00,0.83,0.86,-0.11
Kepler-945 b,Kepler-945,1,1,Transit,2016,31.0033814,0.203700,2.63,7.41000,0.000000,616,,5718.00,0.97,0.97,-0.01
Kepler-946 b,Kepler-946,1,1,Transit,2016,11.79162572,0.100200,1.93,4.38000,0.000000,857,,5665.00,0.93,0.94,-0.09
Kepler-947 b,Kepler-947,1,1,Transit,2016,26.9644317,0.177300,2.28,5.82000,0.000000,573,,5508.00,0.87,0.90,-0.07
Kepler-948 b,Kepler-948,1,1,Transit,2016,7.76846622,0.074900,1.85,4.08000,0.000000,841,,5679.00,0.94,0.96,-0.02
Kepler-949 b,Kepler-949,1,2,Transit,2016,8.6893073,0.077390,2.91,8.80000,0.000000,782,,5403.00,0.86,0.89,0.01
Kepler-949 c,Kepler-949,1,2,Transit,2023,20.99757968,0.139400,2.97,9.11000,0.000000,582,,5211.00,0.90,0.82,0.08
Kepler-95 b,Kepler-95,1,1,Transit,2014,11.5231,0.102320,3.42,13.00000,0.000000,927,,5699.00,1.41,1.08,0.3
Kepler-950 b,Kepler-950,1,1,Transit,2016,98.7180406,0.398200,8.98,59.60000,0.000000,360,,5857.00,1.02,1.02,0.02
Kepler-951 b,Kepler-951,2,1,Transit,2016,71.52530845,0.309100,5.59,26.70000,0.000000,340,,4834.00,0.73,0.77,-0.01
Kepler-952 b,Kepler-952,1,1,Transit,2016,130.3546919,0.518300,7.65,45.40000,0.000000,369,,5730.00,0.99,1.00,0.06
Kepler-953 b,Kepler-953,1,2,Transit,2016,88.40655258,0.392000,4.21,16.50000,0.000000,410,,5416.00,0.99,0.95,0.26
Kepler-953 c,Kepler-953,1,2,Transit,2016,9.10967112,0.086200,1.19,1.81000,0.000000,873,,5416.00,0.99,0.95,0.26
Kepler-954 b,Kepler-954,1,1,Transit,2016,16.78176602,0.120200,2.32,5.99000,0.000000,545,,4990.00,0.76,0.82,0.02
Kepler-955 b,Kepler-955,1,1,Transit,2016,14.53244172,0.108300,3.13,9.96000,0.000000,664,,5350.00,0.84,0.89,0.02
Kepler-956 b,Kepler-956,1,1,Transit,2016,5.24867263,0.060170,3,9.27000,0.000000,1056,,6040.00,1.15,1.10,0.02
Kepler-957 b,Kepler-957,1,1,Transit,2016,5.90741354,0.055900,5.5,25.90000,0.000000,769,,4963.00,0.75,0.81,-0.01
Kepler-958 b,Kepler-958,1,1,Transit,2016,9.7678805,0.086310,2.06,4.90000,0.000000,749,,5421.00,0.86,0.91,0.01
Kepler-959 b,Kepler-959,1,1,Transit,2016,14.80074836,0.163300,4.38,17.60000,0.000000,1912,,7005.00,2.01,1.60,0.02
Kepler-96 b,Kepler-96,1,1,Transit,2014,16.2385,0.126100,2.67,8.46000,0.000000,711,,5690.00,1.02,1.00,0.04
Kepler-960 b,Kepler-960,1,1,Transit,2016,3.12686223,0.038070,2.29,5.86000,0.000000,1391,,4755.00,0.72,0.77,0.02
Kepler-961 b,Kepler-961,1,1,Transit,2016,16.87727414,0.125850,2.55,7.04000,0.000000,642,,5582.00,0.90,0.96,0.05
Kepler-962 b,Kepler-962,1,1,Transit,2016,12.05707239,0.098740,1.97,4.54000,0.000000,689,,5478.00,0.86,0.93,0.01
Kepler-963 b,Kepler-963,1,2,Transit,2016,9.97683705,0.084900,2.66,7.56000,0.000000,802,G,5461.00,0.87,0.91,-0.02
Kepler-963 c,Kepler-963,1,2,Transit,2024,0.919783,,0.6,0.15600,,,G,5169.47,0.93,0.82,-0.02
Kepler-964 b,Kepler-964,1,1,Transit,2016,13.5225106,0.107300,2.12,5.14000,0.000000,652,,5427.00,0.84,0.93,0.03
Kepler-965 b,Kepler-965,1,1,Transit,2016,134.2527298,0.509980,3.38,11.40000,0.000000,393,,5886.00,1.15,1.05,0.03
Kepler-966 b,Kepler-966,1,1,Transit,2016,99.747622,0.390700,4.13,16.00000,0.000000,391,,5840.00,1.02,1.02,0.04
Kepler-967 b,Kepler-967,1,2,Transit,2016,13.22713379,0.102700,2.35,6.12000,0.000000,638,,5178.00,0.80,0.84,-0.03
Kepler-967 c,Kepler-967,1,2,Transit,2016,198.7112502,0.625300,3.65,12.90000,0.000000,258,,5178.00,0.80,0.84,-0.03
Kepler-968 b,Kepler-968,1,3,Transit,2016,3.69298373,0.038900,2,4.66000,0.000000,745,,4598.00,0.70,0.76,0.13
Kepler-968 c,Kepler-968,1,3,Transit,2016,5.70940492,0.052000,1.69,3.50000,0.000000,644,,4598.00,0.70,0.76,0.13
Kepler-969 b,Kepler-969,1,2,Transit,2016,34.1731714,0.197260,2.07,4.94000,0.000000,465,,5214.00,0.82,0.92,0.22
Kepler-969 c,Kepler-969,1,2,Transit,2016,1.6829346,0.026500,0.99,0.93700,0.000000,1270,,5214.00,0.82,0.92,0.22
Kepler-97 b,Kepler-97,1,2,Transit,2014,2.58664,0.035630,1.48,3.51000,0.000000,1328,,5779.00,0.98,0.94,-0.2
Kepler-97 c,Kepler-97,1,2,Radial Velocity,2014,789.0,,0,344.00000,,,,5779.00,0.98,0.94,-0.2
Kepler-970 b,Kepler-970,2,1,Transit,2016,16.736525,0.139000,2609,7.31000,0.340000,464,,4290.00,0.71,0.67,0.04
Kepler-971 b,Kepler-971,1,1,Transit,2016,9.59070716,0.086790,2.13,5.18000,0.000000,1087,,5431.00,0.85,0.88,-0.06
Kepler-972 b,Kepler-972,1,1,Transit,2016,7.03932553,0.073400,4.65,19.50000,0.000000,1060,,6146.00,1.22,1.15,0.04
Kepler-973 b,Kepler-973,1,1,Transit,2016,49.6077331,0.248900,1.96,4.50000,0.000000,402,,5213.00,0.78,0.86,-0.06
Kepler-974 b,Kepler-974,1,1,Transit,2016,4.19449651,0.041900,1.57,3.09000,0.000000,577,,3687.00,0.50,0.52,0.07
Kepler-975 b,Kepler-975,1,2,Transit,2016,1.97034246,0.028980,1.48,2.79000,0.000000,1599,,4897.00,0.75,0.80,0.07
Kepler-975 c,Kepler-975,1,2,Transit,2023,5.05821338,0.056700,10.69,80.20000,0.000000,1168,,4883.00,1.67,0.95,0.56
Kepler-976 b,Kepler-976,1,1,Transit,2016,105.9564148,0.421700,3.96,14.90000,0.000000,324,,5232.00,0.83,0.87,0.07
Kepler-977 b,Kepler-977,1,1,Transit,2016,26.85328322,0.162000,2.62,7.37000,0.000000,544,,5315.00,0.83,0.87,-0.01
Kepler-978 b,Kepler-978,1,1,Transit,2016,49.6221509,0.272600,2.99,9.22000,0.000000,546,,6002.00,1.09,1.07,-0.01
Kepler-979 b,Kepler-979,1,1,Transit,2016,8.0880135,0.075300,2.72,7.85000,0.000000,792,,5310.00,0.83,0.87,-0.02
Kepler-98 b,Kepler-98,1,1,Transit,2014,1.54168,0.026140,1.99,3.55000,0.000000,1592,,5539.00,1.11,0.99,0.18
Kepler-980 b,Kepler-980,1,1,Transit,2016,11.55102504,0.099930,2.67,7.61000,0.000000,845,,5935.00,1.06,1.05,0.01
Kepler-981 b,Kepler-981,1,1,Transit,2016,4.46975774,0.053500,2.31,5.95000,0.000000,1103,,5718.00,0.96,0.98,0.01
Kepler-982 b,Kepler-982,1,1,Transit,2016,15.7738221,0.127700,2.25,5.69000,0.000000,955,,6139.00,1.29,1.16,0.05
Kepler-983 b,Kepler-983,1,1,Transit,2016,60.0855082,0.314800,2.36,6.17000,0.000000,485,,6052.00,1.08,1.13,0.12
Kepler-984 b,Kepler-984,1,1,Transit,2016,43.0342272,0.236880,2.12,5.14000,0.000000,484,,5610.00,0.93,0.96,0.04
Kepler-985 b,Kepler-985,1,1,Transit,2016,116.331901,0.446640,2.98,9.17000,0.000000,323,,5434.00,0.85,0.91,0
Kepler-986 b,Kepler-986,1,1,Transit,2016,56.4349938,0.291310,2.36,6.17000,0.000000,465,,5642.00,0.98,0.96,0.04
Kepler-987 b,Kepler-987,1,1,Transit,2016,105.3033148,0.423800,3.26,10.70000,0.000000,351,,5637.00,0.91,0.97,0.01
Kepler-988 b,Kepler-988,1,1,Transit,2016,17.76080053,0.108500,2.07,4.94000,0.000000,368,,4005.00,0.53,0.55,-0.32
Kepler-989 b,Kepler-989,1,1,Transit,2016,7.96431535,0.073400,2.21,5.52000,0.000000,805,,5074.00,0.78,0.82,0.01
Kepler-99 b,Kepler-99,2,1,Transit,2014,4.60358,0.050710,1.48,6.15000,0.000000,810,,4782.00,0.73,0.79,0.18
Kepler-990 b,Kepler-990,1,2,Transit,2016,9.91723428,0.085950,2.6,7.27000,0.000000,903,,5948.00,1.08,1.05,0.01
Kepler-990 c,Kepler-990,1,2,Transit,2016,0.53835431,0.012320,1.53,2.96000,0.000000,2386,,5948.00,1.08,1.05,0.01
Kepler-991 b,Kepler-991,1,1,Transit,2016,82.5342519,0.310400,2.54,6.99000,0.000000,260,,4392.00,0.61,0.64,-0.25
Kepler-992 b,Kepler-992,1,1,Transit,2016,20.16034462,0.133720,1.62,3.26000,0.000000,510,,4944.00,0.74,0.80,-0.04
Kepler-993 b,Kepler-993,1,1,Transit,2016,22.08557563,0.130000,2.97,9.11000,0.000000,352,,3843.00,0.54,0.57,0.03
Kepler-994 b,Kepler-994,1,1,Transit,2016,1.15116651,0.017700,1.6,3.19000,0.000000,957,,3934.00,0.54,0.56,-0.13
Kepler-995 b,Kepler-995,1,1,Transit,2016,28.26731672,0.170100,2.7,7.75000,0.000000,517,,5206.00,0.80,0.83,-0.07
Kepler-996 b,Kepler-996,1,1,Transit,2016,3.77059058,0.047400,1.98,4.58000,0.000000,1272,,6014.00,1.14,1.09,0.03
Kepler-997 b,Kepler-997,1,1,Transit,2016,2.70730672,0.040220,1.36,2.42000,0.000000,1709,,6150.00,1.56,1.22,0.05
Kepler-998 b,Kepler-998,1,1,Transit,2016,5.65377733,0.062600,2.32,5.99000,0.000000,1020,,6058.00,1.18,1.12,0.07
Kepler-999 b,Kepler-999,1,1,Transit,2016,5.99185702,0.069180,2.34,6.08000,0.000000,1355,,6237.00,1.65,1.29,0.05
L 168-9 b,L 168-9,1,1,Transit,2020,1.40152604,0.020800,1.63,4.07000,0.000000,998,M0.5 V,3842.00,0.60,0.59,-0.03
L 363-38 b,L 363-38,1,1,Radial Velocity,2023,8.781,0.048000,2,4.67000,,330,,3129.00,0.27,0.21,0
L 98-59 b,L 98-59,1,4,Transit,2019,2.2531136,0.021910,0.85,0.40000,0.103000,627,M3 V,3415.00,0.30,0.27,-0.46
L 98-59 c,L 98-59,1,4,Transit,2019,3.6906777,0.030400,1385,2.22000,0.103000,553,M3 V,3415.00,0.30,0.27,-0.46
L 98-59 d,L 98-59,1,4,Transit,2019,7.4507245,0.048600,1521,1.94000,0.074000,416,M3 V,3415.00,0.30,0.27,-0.46
L 98-59 e,L 98-59,1,4,Radial Velocity,2021,12.796,0.071700,1.56,3.06000,0.128000,342,M3 V,3415.00,0.30,0.27,-0.46
LHS 1140 b,LHS 1140,1,2,Transit,2017,24.73723,0.094600,1.73,5.60000,0.043000,226,M4.5 V,3096.00,0.22,0.18,-0.15
LHS 1140 c,LHS 1140,1,2,Transit,2018,3.77794,0.027000,1272,1.91000,0.050000,422,M4.5 V,3096.00,0.22,0.18,-0.15
LHS 1478 b,LHS 1478,1,1,Transit,2021,1.9495378,0.018480,1242,2.33000,,595,m3 V,3381.00,0.25,0.24,-0.13
LHS 1678 b,LHS 1678,2,3,Transit,2021,0.8602325,0.012390,685,0.35000,0.033000,830,M2.0 V,3490.00,0.33,0.35,0
LHS 1678 c,LHS 1678,2,3,Transit,2021,3.694284,0.032700,941,1.40000,0.039000,511,M2.0 V,3490.00,0.33,0.35,0
LHS 1678 d,LHS 1678,2,3,Transit,2024,4.9652229,0.040000,981,0.90700,0.036000,463,M2.0 V,3490.00,0.33,0.35,0
LHS 1815 b,LHS 1815,1,1,Transit,2020,3.814334,0.040400,1088,1.58000,0.000000,617,M1,3643.00,0.50,0.50,-0.12
LHS 3154 b,LHS 3154,1,1,Radial Velocity,2023,0.0,<a refstr=STEF_AACUTE_NSSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Sci...382.1031S/abstract target=ref>Stef&aacutensson et al. 2023</a>,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,,,<a refstr=STEF_AACUTE_NSSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Sci...382.1031S/abstract target=ref>Stef&aacutensson et al. 2023</a>,<a refstr=STEF_AACUTE_NSSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Sci...382.1031S/abstract target=ref>Stef&aacutensson et al. 2023</a>,<a refstr=STEF_AACUTE_NSSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Sci...382.1031S/abstract target=ref>Stef&aacutensson et al. 2023</a>,#¡VALOR!
LHS 3844 b,LHS 3844,1,1,Transit,2019,0.46292913,0.006220,1303,2.25000,,805,M5,3036.00,0.19,0.15,0
LHS 475 b,LHS 475,1,1,Transit,2023,2.029088,0.020370,991,0.94100,0.000000,586,M3.5 V,3300.00,0.28,0.26,0
LP 714-47 b,LP 714-47,1,1,Transit,2020,4.052037,0.041700,4.7,30.80000,0.040000,700,M0.0 V,3950.00,0.58,0.59,0.41
LP 791-18 b,LP 791-18,1,3,Transit,2019,0.9479981,0.009780,1212,1.94000,0.000000,564,M(6.1 +/- 0.7) V,2960.00,0.18,0.14,-0.09
LP 791-18 c,LP 791-18,1,3,Transit,2019,4.9899093,0.029610,2438,7.10000,0.000080,324,M(6.1 +/- 0.7) V,2960.00,0.18,0.14,-0.09
LP 791-18 d,LP 791-18,1,3,Transit,2023,2.753436,0.019920,1032,0.90000,0.001500,396,M(6.1 +/- 0.7) V,2960.00,0.18,0.14,-0.09
LP 890-9 b,LP 890-9,1,2,Transit,2022,2.7299025,0.018750,1.32,13.20000,,396,M6 V,2850.00,0.16,0.12,-28
LP 890-9 c,LP 890-9,1,2,Transit,2022,8.457463,0.039840,1367,25.30000,,272,M6 V,2850.00,0.16,0.12,-28
LSPM J2116+0234 b,LSPM J2116+0234,1,1,Radial Velocity,2019,14.4399,0.087600,3.71,13.30000,0.183000,,M3.0 V,3475.00,0.43,0.43,-0.05
LTT 1445 A b,LTT 1445 A,3,2,Transit,2019,5.35876,0.022000,1.18,2.73000,0.190000,555,M3.0,3340.00,0.27,0.26,-0.34
LTT 1445 A c,LTT 1445 A,3,2,Transit,2022,3.1239035,0.026610,1147,1.54000,0.223000,508,M3.0,3340.00,0.27,0.26,-0.34
LTT 3780 b,LTT 3780,2,2,Transit,2020,0.76837931,0.011950,1325,2.46000,0.000000,903,M3.5 V,3358.00,0.38,0.38,0.06
LTT 3780 c,LTT 3780,2,2,Transit,2020,12.252284,0.075700,2.39,8.04000,0.024000,359,M3.5 V,3358.00,0.38,0.38,0.06
LTT 9779 b,LTT 9779,1,1,Transit,2020,0.792052,0.016790,4.72,29.32000,0.000000,1978,G7 V,5443.00,0.95,0.77,0.27
LkCa 15 b,LkCa 15,1,2,Imaging,2015,,14.700000,0,,,,,4194.00,1.61,,0.26
LkCa 15 c,LkCa 15,1,2,Imaging,2015,,18.600000,0,,,,,4194.00,1.61,,0.26
Luhman 16 b,Luhman 16 A,1,1,Imaging,2017,9697.0,3.520000,11.9,9344.15517,0.344000,,,,,0.03,0
Lupus-TR-3 b,Lupus-TR-3,1,1,Transit,2007,3.91405,0.046400,9976,257.43100,0.000000,,,5000.00,0.82,0.87,0
M62H b,M62H,1,1,Pulsar Timing,2024,0.13293503,,0,785.03617,,,,,,1.40,0
MASCARA-1 b,MASCARA-1,1,1,Transit,2017,2.14877381,0.040352,17901,1175.97100,0.000340,2594,,7845.75,2.08,1.90,0.15
MASCARA-4 b,MASCARA-4,2,1,Transit,2020,2.82406,0.047000,17.15,985.27300,0.000000,2100,A7 V,7800.00,1.92,1.75,0
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,1,1,Microlensing,2008,,0.620000,1.63,3.30000,,,,,,0.06,0
MOA-2007-BLG-400L b,MOA-2007-BLG-400L,1,1,Microlensing,2008,,5.900000,13.5,540.30829,,34,,,,0.69,0
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,1,1,Microlensing,2009,,1.100000,5.18,23.40000,,,,,,0.21,0
MOA-2008-BLG-379L b,MOA-2008-BLG-379L,1,1,Microlensing,2013,,2.700000,13,1300.00000,,,K,,,0.56,0
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,1,1,Microlensing,2011,2800.0,3.200000,3.21,10.40000,,,,,,0.56,0
MOA-2009-BLG-319L b,MOA-2009-BLG-319L,1,1,Microlensing,2010,,2.030000,9.64,67.30000,,,,,,0.52,0
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,1,1,Microlensing,2010,1980.0,1.800000,13.2,830.00000,,,,,,0.19,0
MOA-2010-BLG-073L b,MOA-2010-BLG-073L,1,1,Microlensing,2012,,1.210000,12.4,3500.00000,,,,,,0.16,0
MOA-2010-BLG-117L b,MOA-2010-BLG-117L,1,1,Microlensing,2018,,2.420000,14.2,170.00000,,,,,,0.58,0
MOA-2010-BLG-328L b,MOA-2010-BLG-328L,1,1,Microlensing,2013,,0.920000,2.99,9.20000,,,,,,0.11,0
MOA-2010-BLG-353L b,MOA-2010-BLG-353L,1,1,Microlensing,2015,,1.720000,11.1,86.00000,,,,,,0.18,0
MOA-2010-BLG-477L b,MOA-2010-BLG-477L,1,1,Microlensing,2012,,2.000000,13.6,480.00000,,,,5950.00,,0.67,0
MOA-2011-BLG-028L b,MOA-2011-BLG-028L,1,1,Microlensing,2016,,4.140000,5.99,30.00000,,,,,,0.75,0
MOA-2011-BLG-262L b,MOA-2011-BLG-262L,1,1,Microlensing,2014,,0.950000,4.29,17.00000,,,,,,0.11,0
MOA-2011-BLG-291L b,MOA-2011-BLG-291L,1,1,Microlensing,2018,,0.690000,4.43,18.00000,,,,,,0.15,0
MOA-2011-BLG-293L b,MOA-2011-BLG-293L,1,1,Microlensing,2012,3000.0,1.100000,12.9,1500.00000,,,,,,0.86,0
MOA-2011-BLG-322L b,MOA-2011-BLG-322L,1,1,Microlensing,2013,,4.300000,12.4,3690.00000,,,,,,0.39,0
MOA-2012-BLG-006L b,MOA-2012-BLG-006L,1,1,Microlensing,2017,,10.200000,12.6,2700.00000,,,,,,0.49,0
MOA-2012-BLG-505L b,MOA-2012-BLG-505L,1,1,Microlensing,2017,,0.900000,2.48,6.70000,,,,,,0.10,0
MOA-2013-BLG-220L b,MOA-2013-BLG-220L,1,1,Microlensing,2014,,3.030000,13.2,871.00000,,,,,,0.88,0
MOA-2013-BLG-605L b,MOA-2013-BLG-605L,1,1,Microlensing,2016,,0.930000,1.62,3.24000,,,,,,0.02,0
MOA-2015-BLG-337L b,MOA-2015-BLG-337L,1,1,Microlensing,2018,,0.240000,6.42,33.70000,,,,,,0.01,0
MOA-2016-BLG-227L b,MOA-2016-BLG-227L,1,1,Microlensing,2017,,1.390000,13.2,890.00000,,,,,,0.29,0
MOA-2016-BLG-319L b,MOA-2016-BLG-319L,1,1,Microlensing,2018,,0.950000,14.1,200.00000,,,,,,0.15,0
MOA-2016-BLG-526L b,MOA-2016-BLG-526L,1,1,Microlensing,2024,,2.070000,3.97,14.93794,,,,,,0.37,0
MOA-2019-BLG-008L b,MOA-2019-BLG-008L,1,1,Microlensing,2022,,,12.2,5720.91133,,,,,,0.90,0
MOA-2020-BLG-135L b,MOA-2020-BLG-135L,1,1,Microlensing,2022,,1.110000,3.37,11.30000,,,,,,0.23,0
MOA-2020-BLG-208L b,MOA-2020-BLG-208L,1,1,Microlensing,2023,,2.740000,7.71,46.00000,,,,,,0.43,0
MOA-2022-BLG-249L b,MOA-2022-BLG-249L,1,1,Microlensing,2023,,1.630000,2.04,4.83000,,,,,,0.18,0
MOA-2022-BLG-563L b,MOA-2022-BLG-563L,1,1,Microlensing,2024,,2.150000,14,127.13136,,,,,,0.48,0
MOA-bin-1L b,MOA-bin-1L,1,1,Microlensing,2012,,8.300000,13,1200.00000,,,,,,0.75,0
MOA-bin-29 b,MOA-bin-29,1,1,Microlensing,2019,,0.480000,14.1,190.00000,,,,,,0.03,0
MWC 758 c,MWC 758,1,1,Imaging,2023,,100.000000,0,,,500,A8Ve,7314.00,2.01,1.50,0
MXB 1658-298 b,MXB 1658-298,2,1,Eclipse Timing Variations,2017,760.0,1.613000,12,7532.57100,,,,,,1.98,0
NGC 2682 Sand 1429 b,NGC 2682 Sand 1429,1,1,Radial Velocity,2024,77.48,0.384000,13.4,572.09113,0.000000,683,F9.5 V,6000.00,2.13,1.26,-13
NGC 2682 Sand 364 b,NGC 2682 Sand 364,1,1,Radial Velocity,2014,121.71,0.530000,12.7,2126.28270,0.350000,,K3 III,4284.00,39.59,9.06,-0.02
NGC 2682 Sand 978 b,NGC 2682 Sand 978,1,1,Radial Velocity,2017,511.21,,13.3,692.86940,0.160000,,K4 III,4200.00,21.02,1.37,-0.02
NGC 2682 YBP 1194 b,NGC 2682 YBP 1194,1,1,Radial Velocity,2014,6.959,,12.3,101.70560,0.300000,,G5 V,5780.00,0.99,1.01,23
NGC 2682 YBP 1514 b,NGC 2682 YBP 1514,1,1,Radial Velocity,2014,5.118,,14,127.13200,0.280000,,G5 V,5725.00,0.89,0.96,0.03
NGC 2682 YBP 401 b,NGC 2682 YBP 401,1,1,Radial Velocity,2016,4.087,,14.3,146.20180,0.150000,,F9 V,6165.00,1.22,1.14,-46
NGTS-1 b,NGTS-1,1,1,Transit,2017,2.647298,0.032600,14908,258.07796,0.016000,790,M0.5,3916.00,0.57,0.62,0
NGTS-10 b,NGTS-10,1,1,Transit,2020,0.7668944,0.014300,13507,687.14846,0.000000,1332,K5 V,4600.00,0.70,0.70,-0.02
NGTS-11 b,NGTS-11,1,1,Transit,2020,35.45533,0.201000,9158,109.33352,0.130000,435,K,5050.00,0.83,0.86,0.22
NGTS-12 b,NGTS-12,1,1,Transit,2020,7.532806,0.075700,11747,66.10864,0.000000,1257,G,5690.00,1.59,1.02,-0.03
NGTS-13 b,NGTS-13,1,1,Transit,2021,4.119027,0.054900,12801,1538.29720,0.086000,1605,,5819.00,1.79,1.30,0.25
NGTS-14 A b,NGTS-14 A,2,1,Transit,2021,3.5357173,0.040300,4977,29.24036,0.000000,1143,K1 V,5187.00,0.84,0.90,0.1
NGTS-15 b,NGTS-15,1,1,Transit,2021,3.27623,0.044100,12.33,238.68913,0.000000,1146,G6 V,5600.00,0.95,0.99,0.15
NGTS-16 b,NGTS-16,1,1,Transit,2021,4.84532,0.052300,14572,211.99155,0.000000,1177,G7 V,5550.00,1.21,1.00,0.35
NGTS-17 b,NGTS-17,1,1,Transit,2021,3.24253,0.039100,13899,242.82090,0.000000,1457,G4 V,5650.00,1.34,1.03,0.15
NGTS-18 b,NGTS-18,1,1,Transit,2021,3.05125,0.044800,13563,129.99182,0.000000,1381,G5 V,5610.00,1.39,1.00,0.15
NGTS-2 b,NGTS-2,1,1,Transit,2018,4.511164,0.063000,17878,235.19420,0.000000,1468,F5 V,6478.00,1.70,1.64,-0.06
NGTS-20 b,NGTS-20,1,1,Transit,2022,54.18915,0.313000,11994,947.12865,0.432000,688,G1 IV,5980.00,1.78,1.47,0.15
NGTS-21 b,NGTS-21,1,1,Transit,2022,1.5433897,0.023600,14908,750.07504,0.000000,1357,K3 V,4660.00,0.86,0.72,-0.26
NGTS-23 b,NGTS-23,1,1,Transit,2022,4.0764326,0.050400,14202,194.82881,0.000000,1327,F9 V,6057.00,1.24,1.01,-0.26
NGTS-24 b,NGTS-24,1,1,Transit,2022,3.4678796,0.047900,13608,165.27077,0.000000,1499,G2 IV,5820.00,1.64,1.26,0.27
NGTS-25 b,NGTS-25,1,1,Transit,2022,2.823093,0.038800,11467,203.09235,0.000000,1101,K0 V,5321.00,0.86,0.91,0.12
NGTS-26 b,NGTS-26,1,1,Transit,2024,4.5199279,0.049000,14886,92.80589,0.000000,1331,,5550.00,1.16,0.96,0.2
NGTS-27 b,NGTS-27,1,1,Transit,2024,3.3704181,0.044600,15648,188.47225,0.000000,1783,,5700.00,1.77,1.07,0
